Date,SPX Index,DAX Index
02/04/2018,2581.88,12096.73
03/04/2018,2614.45,12002.45
04/04/2018,2644.69,11957.9
05/04/2018,2662.84,12305.19
06/04/2018,2604.47,12241.27
09/04/2018,2613.16,12261.75
10/04/2018,2656.87,12397.32
11/04/2018,2642.19,12293.97
12/04/2018,2663.99,12415.01
13/04/2018,2656.3,12442.4
16/04/2018,2677.84,12391.41
17/04/2018,2706.39,12585.57
18/04/2018,2708.64,12590.83
19/04/2018,2693.13,12567.42
20/04/2018,2670.14,12540.5
23/04/2018,2670.29,12572.39
24/04/2018,2634.56,12550.82
25/04/2018,2639.4,12422.3
26/04/2018,2666.94,12500.47
27/04/2018,2669.91,12580.87
30/04/2018,2648.05,12612.11
01/05/2018,2654.8,12612.11
02/05/2018,2635.67,12802.25
03/05/2018,2629.73,12690.15
04/05/2018,2663.42,12819.6
07/05/2018,2672.63,12948.14
08/05/2018,2671.92,12912.21
09/05/2018,2697.79,12943.06
10/05/2018,2723.07,13022.87
11/05/2018,2727.72,13001.24
14/05/2018,2730.13,12977.71
15/05/2018,2711.45,12970.04
16/05/2018,2722.46,12996.33
17/05/2018,2720.13,13114.61
18/05/2018,2712.97,13077.72
21/05/2018,2733.01,13077.72
22/05/2018,2724.44,13169.92
23/05/2018,2733.29,12976.84
24/05/2018,2727.76,12855.09
25/05/2018,2721.33,12938.01
28/05/2018,2721.33,12863.46
29/05/2018,2689.86,12666.51
30/05/2018,2724.01,12783.76
31/05/2018,2705.27,12604.89
01/06/2018,2734.62,12724.27
04/06/2018,2746.87,12770.75
05/06/2018,2748.8,12787.13
06/06/2018,2772.35,12830.07
07/06/2018,2770.37,12811.05
08/06/2018,2779.03,12766.55
11/06/2018,2782,12842.91
12/06/2018,2786.85,12842.3
13/06/2018,2775.63,12890.58
14/06/2018,2782.49,13107.1
15/06/2018,2779.66,13010.55
18/06/2018,2773.75,12834.11
19/06/2018,2762.59,12677.97
20/06/2018,2767.32,12695.16
21/06/2018,2749.76,12511.91
22/06/2018,2754.88,12579.72
25/06/2018,2717.07,12270.33
26/06/2018,2723.06,12234.34
27/06/2018,2699.63,12348.61
28/06/2018,2716.31,12177.23
29/06/2018,2718.37,12306
02/07/2018,2726.71,12238.17
03/07/2018,2713.22,12349.14
04/07/2018,2713.22,12317.61
05/07/2018,2736.61,12464.29
06/07/2018,2759.82,12496.17
09/07/2018,2784.17,12543.89
10/07/2018,2793.84,12609.85
11/07/2018,2774.02,12417.13
12/07/2018,2798.29,12492.97
13/07/2018,2801.31,12540.73
16/07/2018,2798.43,12561.02
17/07/2018,2809.55,12661.54
18/07/2018,2815.62,12765.94
19/07/2018,2804.49,12686.29
20/07/2018,2801.83,12561.42
23/07/2018,2806.98,12548.57
24/07/2018,2820.4,12689.39
25/07/2018,2846.07,12579.33
26/07/2018,2837.44,12809.23
27/07/2018,2818.82,12860.4
30/07/2018,2802.6,12798.2
31/07/2018,2816.29,12805.5
01/08/2018,2813.36,12737.05
02/08/2018,2827.22,12546.33
03/08/2018,2840.35,12615.76
06/08/2018,2850.4,12598.21
07/08/2018,2858.45,12648.19
08/08/2018,2857.7,12633.54
09/08/2018,2853.58,12676.11
10/08/2018,2833.28,12424.35
13/08/2018,2821.93,12358.74
14/08/2018,2839.96,12358.87
15/08/2018,2818.37,12163.01
16/08/2018,2840.69,12237.17
17/08/2018,2850.13,12210.55
20/08/2018,2857.05,12331.3
21/08/2018,2862.96,12384.49
22/08/2018,2861.82,12385.7
23/08/2018,2856.98,12365.58
24/08/2018,2874.69,12394.52
27/08/2018,2896.74,12538.31
28/08/2018,2897.52,12527.42
29/08/2018,2914.04,12561.68
30/08/2018,2901.13,12494.24
31/08/2018,2901.52,12364.06
03/09/2018,2901.52,12346.41
04/09/2018,2896.72,12210.21
05/09/2018,2888.6,12040.46
06/09/2018,2878.05,11955.25
07/09/2018,2871.68,11959.63
10/09/2018,2877.13,11986.34
11/09/2018,2887.89,11970.27
12/09/2018,2888.92,12032.3
13/09/2018,2904.18,12055.55
14/09/2018,2904.98,12124.33
17/09/2018,2888.8,12096.41
18/09/2018,2904.31,12157.67
19/09/2018,2907.95,12219.02
20/09/2018,2930.75,12326.48
21/09/2018,2929.67,12430.88
24/09/2018,2919.37,12350.82
25/09/2018,2915.56,12374.66
26/09/2018,2905.97,12385.89
27/09/2018,2914,12435.59
28/09/2018,2913.98,12246.73
01/10/2018,2924.59,12339.03
02/10/2018,2923.43,12287.58
03/10/2018,2925.51,12287.58
04/10/2018,2901.61,12244.14
05/10/2018,2885.57,12111.9
08/10/2018,2884.43,11947.16
09/10/2018,2880.34,11977.22
10/10/2018,2785.68,11712.5
11/10/2018,2728.37,11539.35
12/10/2018,2767.13,11523.81
15/10/2018,2750.79,11614.16
16/10/2018,2809.92,11776.55
17/10/2018,2809.21,11715.03
18/10/2018,2768.78,11589.21
19/10/2018,2767.78,11553.83
22/10/2018,2755.88,11524.34
23/10/2018,2740.69,11274.28
24/10/2018,2656.1,11191.63
25/10/2018,2705.57,11307.12
26/10/2018,2658.69,11200.62
29/10/2018,2641.25,11335.48
30/10/2018,2682.63,11287.39
31/10/2018,2711.74,11447.51
01/11/2018,2740.37,11468.54
02/11/2018,2723.06,11518.99
05/11/2018,2738.31,11494.96
06/11/2018,2755.45,11484.34
07/11/2018,2813.89,11579.1
08/11/2018,2806.83,11527.32
09/11/2018,2781.01,11529.16
12/11/2018,2726.22,11325.44
13/11/2018,2722.18,11472.22
14/11/2018,2701.58,11412.53
15/11/2018,2730.2,11353.67
16/11/2018,2736.27,11341
19/11/2018,2690.73,11244.54
20/11/2018,2641.89,11066.41
21/11/2018,2649.93,11244.17
22/11/2018,2649.93,11138.49
23/11/2018,2632.56,11192.69
26/11/2018,2673.45,11354.72
27/11/2018,2682.17,11309.11
28/11/2018,2743.79,11298.88
29/11/2018,2737.76,11298.23
30/11/2018,2760.17,11257.24
03/12/2018,2790.37,11465.46
04/12/2018,2700.06,11335.32
05/12/2018,2700.06,11200.24
06/12/2018,2695.95,10810.98
07/12/2018,2633.08,10788.09
10/12/2018,2637.72,10622.07
11/12/2018,2636.78,10780.51
12/12/2018,2651.07,10929.43
13/12/2018,2650.54,10924.7
14/12/2018,2599.95,10865.77
17/12/2018,2545.94,10772.2
18/12/2018,2546.16,10740.89
19/12/2018,2506.96,10766.21
20/12/2018,2467.42,10611.1
21/12/2018,2416.62,10633.82
24/12/2018,2351.1,10633.82
25/12/2018,2351.1,10633.82
26/12/2018,2467.7,10633.82
27/12/2018,2488.83,10381.51
28/12/2018,2485.74,10558.96
31/12/2018,2506.85,10558.96
01/01/2019,2506.85,10558.96
02/01/2019,2510.03,10580.19
03/01/2019,2447.89,10416.66
04/01/2019,2531.94,10767.69
07/01/2019,2549.69,10747.81
08/01/2019,2574.41,10803.98
09/01/2019,2584.96,10893.32
10/01/2019,2596.64,10921.59
11/01/2019,2596.26,10887.46
14/01/2019,2582.61,10855.91
15/01/2019,2610.3,10891.79
16/01/2019,2616.1,10931.24
17/01/2019,2635.96,10918.62
18/01/2019,2670.71,11205.54
21/01/2019,2670.71,11136.2
22/01/2019,2632.9,11090.11
23/01/2019,2638.7,11071.54
24/01/2019,2642.33,11130.18
25/01/2019,2664.76,11281.79
28/01/2019,2643.85,11210.31
29/01/2019,2640,11218.83
30/01/2019,2681.05,11181.66
31/01/2019,2704.1,11173.1
01/02/2019,2706.53,11180.66
04/02/2019,2724.87,11176.58
05/02/2019,2737.7,11367.98
06/02/2019,2731.61,11324.72
07/02/2019,2706.05,11022.02
08/02/2019,2707.88,10906.78
11/02/2019,2709.8,11014.59
12/02/2019,2744.73,11126.08
13/02/2019,2753.03,11167.22
14/02/2019,2745.73,11089.79
