,SPY_ETF,AAPL,MSFT,AMZN,GOOG,FB,BRK-B,TSLA,V,JPM,JNJ,WMT,UNH,BAC,MA,NVDA,HD,PG,DIS,PYPL,XOM
2018-05-01 00:00:00+00:00,250.5936779,40.71382657,91.04978537,1582.26,1037.31,173.86,195.11,59.984,124.9413366,99.22495828,115.4437308,82.12365771,226.1731413,27.96720831,177.4454493,225.3147509,171.6306205,66.26053978,97.30058382,74.81,63.91626456
2018-05-02 00:00:00+00:00,248.9103179,42.51236167,89.62174136,1569.68,1024.38,176.07,193.31,60.23,123.8341002,98.44049915,113.1442009,81.11836869,222.9359576,27.62170357,182.9287844,224.4914206,172.8204986,65.32132701,96.87271797,71.73,63.79167145
2018-05-03 00:00:00+00:00,248.3618073,42.58940735,90.15845589,1572.08,1023.72,174.02,191.61,56.89,124.6179844,97.82022914,112.7136116,81.01502122,223.5948534,27.26686086,183.5785154,231.1177415,170.2920076,65.70806168,96.03643472,73.45,63.57571006
2018-05-04 00:00:00+00:00,251.5772141,44.26033553,91.20313237,1580.95,1048.21,176.61,195.64,58.818,125.5782425,98.90570166,113.7763426,82.23640041,225.2659659,27.36024052,185.2422203,237.1389642,172.0024574,66.69331429,98.36052422,73.99,63.87473352
2018-05-07 00:00:00+00:00,252.4283512,44.58055664,92.21905629,1600.14,1054.79,177.97,197.06,60.554,126.6560832,99.76313373,113.2266542,80.30098415,223.2415325,27.67773136,186.1577502,246.68166,170.6359568,66.27895572,99.65384599,74.67,64.57245493
2018-05-08 00:00:00+00:00,252.4283512,44.79483994,91.82610459,1592.39,1053.91,178.92,196.24,60.394,127.2831905,101.2408358,112.3288297,80.55465522,221.57042,27.94853238,187.5655005,248.3878384,172.0117533,65.78172543,98.98287455,75.72,64.86317218
2018-05-09 00:00:00+00:00,254.8682776,45.11024569,92.90911783,1608,1082.76,182.66,199.87,61.37,128.2042544,103.4482673,113.1533624,78.03673504,218.8775416,28.6862317,187.6639446,253.7246059,173.2388151,66.63806648,97.21306581,77.01,66.39151431
2018-05-10 00:00:00+00:00,257.2514615,45.75550326,93.83878406,1609.08,1097.57,185.53,201.2,61.004,128.3610312,104.2509697,114.8390736,78.17766341,223.174688,28.84497712,190.0462912,258.0396502,173.9824889,67.35628801,98.87590808,79.19,67.8783254
2018-05-11 00:00:00+00:00,258.036399,45.58215048,93.63751611,1602.91,1098.26,186.99,199.3,60.212,129.1645125,103.8587401,116.5705921,78.83001058,227.5386789,28.87299102,190.3416235,252.4846506,176.9107046,67.55886331,99.25515281,79.2,68.19396127
2018-05-14 00:00:00+00:00,258.1593411,45.4758026,93.95379431,1601.54,1100.2,186.64,199.18,58.394,128.5668008,103.8952266,115.4895382,79.78489557,231.950416,29.05975034,189.1307613,253.3079809,177.6264906,67.47599159,99.6149491,78.81,68.65541155
2018-05-15 00:00:00+00:00,256.3814102,45.06249608,93.27331697,1576.12,1079.23,184.32,197.36,56.836,128.4590168,103.1016458,114.6375211,79.90780156,228.7036831,29.15313,189.0126284,243.5867316,174.7447546,67.17212864,100.0817118,77.79,68.62185153
2018-05-16 00:00:00+00:00,257.4595172,45.4830536,93.51292167,1587.28,1081.77,183.2,197.83,57.296,128.2532472,103.384416,114.8390736,81.42994497,230.8236087,29.00372254,189.3867159,244.0331155,173.257407,67.7061908,102.1432473,77.82,68.81482165
2018-05-17 00:00:00+00:00,257.2420044,45.19543093,92.57923629,1581.76,1078.59,183.76,197.49,56.908,127.5183558,103.0377945,113.4648525,79.87943864,232.0077113,28.77027339,188.2250758,245.7194547,172.2813351,68.10213344,101.4625516,79.19,68.69736158
2018-05-18 00:00:00+00:00,256.5989231,45.03107512,92.7524975,1574.37,1066.36,182.68,196.06,55.364,127.5183558,101.3685385,113.82215,79.07582256,233.6119793,28.25668526,187.4375232,243.963678,174.2241829,67.63252705,101.0638584,80.79,68.21074128
2018-05-21 00:00:00+00:00,258.5281672,45.35011875,93.94607467,1585.46,1079.58,184.49,197.91,56.898,128.2348062,102.2989435,113.3457533,79.89834726,236.7250231,28.52748627,188.2250758,242.2773389,176.4273166,68.19421312,101.1902734,81.25,69.03296178
2018-05-22 00:00:00+00:00,257.8094292,45.23651988,93.84981845,1581.4,1069.73,183.8,198.13,55.002,128.2838781,103.0834026,112.603674,78.82055627,234.1276368,28.84497712,188.6385409,240.749714,173.7129072,68.16658921,101.1999976,80.62,68.49600146
2018-05-23 00:00:00+00:00,258.5187101,45.52655955,94.96639065,1601.86,1079.69,186.9,195.95,55.814,129.4321616,102.6090785,113.0983935,78.48020123,233.2491091,28.42476865,189.9872248,245.6996154,173.5269887,68.30470874,100.0525392,81.08,68.92389172
2018-05-24 00:00:00+00:00,257.9891137,45.4758026,94.62949386,1603.07,1079.24,185.93,194.83,55.57,129.441976,101.4597546,111.9990167,78.32893232,231.7880793,28.20999543,188.9240288,245.8485002,173.973193,67.92718204,99.29404971,81.55,67.34657076
2018-05-25 00:00:00+00:00,257.3744035,45.57973348,94.67762198,1610.15,1075.66,184.92,194.15,55.77,128.8432983,100.9398224,112.1089544,77.96021435,233.9080049,28.1633056,188.1955426,247.426679,173.6943153,68.42441233,99.38156772,80.96,66.03772997
2018-05-29 00:00:00+00:00,254.4143378,45.41537767,94.34072519,1612.87,1060.32,185.74,189.87,56.752,127.2828104,96.62529721,110.1984782,77.90348851,231.2533233,27.04274967,186.5810597,246.741809,171.9745696,68.18500515,96.94078754,80.73,65.79441982
2018-05-30 00:00:00+00:00,257.8094292,45.31869779,95.2455337,1624.89,1067.8,187.67,194.1,58.344,128.2151774,98.83272872,111.6474867,79.52962929,233.8984557,27.53766187,188.7763626,251.1090963,174.8748975,68.95847449,97.22279003,81.6,68.37854138
2018-05-31 00:00:00+00:00,256.230097,45.16642696,95.13965185,1629.62,1084.99,191.78,191.53,56.946,128.2936925,97.61043193,110.401524,78.0358488,230.6230752,27.22950899,187.1618798,250.3150441,174.3701541,67.37470394,96.72685461,82.07,68.16040125
2018-06-01 00:00:00+00:00,258.74568,45.98095502,97.01664822,1641.54,1119.5,193.99,192.23,58.364,128.4212796,98.87833681,111.915138,78.46129261,232.3801306,27.56706489,192.3301938,255.7046737,175.1179221,67.63252705,96.61988815,83.25,68.65541155
2018-06-04 00:00:00+00:00,259.9751002,46.36525758,97.86370299,1665.27,1139.29,193.28,191.3,59.348,130.6000739,98.92394489,112.5519633,80.75868918,233.60243,27.56706489,194.6534741,262.8809208,178.8661093,68.30470874,97.47561985,84.57,67.93387112
2018-06-05 00:00:00+00:00,260.1642418,46.72297317,98.36423536,1696.35,1139.66,192.94,190.77,58.226,131.080979,98.36752621,112.1181837,80.00234463,233.4114458,27.30452142,196.2581125,263.0992852,179.4082411,68.11134141,97.18389313,85.05,67.69056097
2018-06-06 00:00:00+00:00,262.33937,46.88491198,98.65300403,1695.75,1136.88,191.34,193.99,63.9,133.7504928,100.6661739,113.327229,79.94561879,237.4412142,28.16716426,200.0482095,263.1786904,180.9505126,68.4612442,99.09956523,85.21,68.84838167
2018-06-07 00:00:00+00:00,262.3109987,46.75922813,97.10327882,1689.3,1123.86,188.18,195.57,63.218,131.3557819,101.0675251,113.8256141,80.31433676,237.7563383,28.21404703,196.4353119,260.9454185,183.3620645,69.75956773,99.64412177,83.27,69.53636209
2018-06-08 00:00:00+00:00,263.0864792,46.33383662,97.8252005,1683.99,1120.87,189.1,196.01,63.532,132.2390769,101.3502952,114.4993569,79.75653265,239.3797047,28.1390346,196.9275322,260.330028,185.3810381,71.06709922,101.1124796,84.34,70.14044245
2018-06-11 00:00:00+00:00,263.4363911,46.22023775,97.2669144,1689.12,1129.99,191.54,195.33,66.42,131.4244826,101.0948899,113.2072474,79.69980681,242.3399612,28.18591737,195.401649,258.6823696,186.6055083,71.38937811,101.4722759,83.89,69.7209422
2018-06-12 00:00:00+00:00,263.776846,46.47402245,97.51718059,1698.75,1139.32,192.4,195.27,68.554,132.3568495,100.5111064,113.0964952,79.51072067,242.1489769,28.03589252,197.0161319,260.6277976,188.166474,71.12234703,101.4528274,85.02,69.15042185
2018-06-13 00:00:00+00:00,262.9351659,46.09213689,97.07440196,1704.86,1134.79,192.41,194.55,68.956,131.9053876,100.3104308,113.1795594,79.50126637,241.4709826,27.97963321,196.3073346,260.4491358,187.231764,70.41333348,103.3782237,85.27,68.38693139
2018-06-14 00:00:00+00:00,263.5971615,46.11630687,97.62306243,1723.86,1152.12,196.81,192.5,71.544,132.494251,98.54083695,112.9765136,79.21763716,243.8200894,27.66083042,196.2088905,264.9256053,186.6335496,69.971351,105.7509343,85.61,68.70575158
2018-06-15 00:00:00+00:00,263.2620026,45.64257541,96.38135714,1715.97,1152.26,195.85,191.76,71.634,132.5923949,98.42225592,113.1611007,79.1325484,245.3002176,27.45454626,196.4254674,263.2878726,187.4467473,71.25125859,105.8481766,85.31,67.67378096
2018-06-18 00:00:00+00:00,262.7205262,45.61840544,97.08402758,1723.79,1173.46,198.31,191.11,74.166,133.6719776,98.67766121,111.9705141,78.47074692,244.2365281,27.56706489,198.0005727,263.1191365,187.5869538,69.83323147,104.1075405,85.85,67.80802104
2018-06-19 00:00:00+00:00,261.7135702,44.88122129,97.08402758,1734.78,1168.06,197.49,190.35,70.51,132.6022092,98.10299929,113.1241832,79.04745964,242.4637122,27.43579315,196.582978,258.2357152,186.203583,70.28442192,103.174015,84.52,67.70734098
2018-06-20 00:00:00+00:00,262.1600507,45.07699806,98.05621544,1750.08,1169.84,202,189.5,72.444,132.9849704,98.09387768,112.6350275,79.04745964,242.2624737,27.41704005,198.4041934,260.3598049,186.0820707,69.84243944,104.1950585,85.95,67.49759085
2018-06-21 00:00:00+00:00,260.5166225,44.82563035,97.35354501,1730.22,1157.66,201.5,188.86,69.502,132.0329747,98.06651282,112.0904957,79.61471805,241.3808571,27.46392281,197.6560184,255.1984653,187.231764,70.38570957,102.9698063,85.97,66.85995047
2018-06-22 00:00:00+00:00,260.9916017,44.6951125,96.65087457,1715.67,1155.48,201.74,188.91,66.726,132.8181258,96.46110809,113.3733758,80.19143077,243.7573887,27.18262623,198.345127,249.0842631,184.5211049,71.29729843,103.4073964,85.12,68.27786132
2018-06-25 00:00:00+00:00,257.4387569,44.03043827,94.70649884,1663.15,1124.81,196.35,186.73,66.602,128.4997947,95.58543278,113.1426419,81.7513914,240.2500881,26.70442204,191.9462619,237.3422155,183.5583536,71.62878529,101.5695181,82.19,66.90190049
2018-06-26 00:00:00+00:00,258.008732,44.57667964,95.37066679,1691.09,1118.46,199,186.44,68.4,130.0897257,95.64928411,112.9211375,81.28813036,239.349306,26.76068136,193.4032343,240.1908779,183.5396594,71.82215262,101.3847578,82.32,67.65700095
2018-06-27 00:00:00+00:00,255.8713254,44.51142072,93.88832094,1660.51,1103.98,195.84,184.91,68.9,128.5881242,94.17158203,112.2381653,82.14847229,237.8160598,26.47938478,190.1742685,233.9674935,182.287148,71.53670561,101.0930311,80.67,68.55473149
2018-06-28 00:00:00+00:00,257.3342615,44.83529834,94.93751378,1701.45,1114.22,196.23,187.09,69.986,130.2761991,95.71313543,112.5981101,81.17467868,234.682488,26.88257654,194.0332764,239.0692792,182.4647429,71.86819247,101.8806933,82.48,68.77287162
2018-06-29 00:00:00+00:00,257.7047453,44.74103545,94.91826254,1699.8,1115.65,194.32,186.65,68.59,129.9915818,95.04725733,111.9889728,80.97613824,235.1041307,26.43250202,193.4623007,235.1387206,182.3619248,71.87740043,101.9195901,83.27,69.41051201
2018-07-02 00:00:00+00:00,258.2557212,45.24135387,96.26584967,1713.78,1127.46,197.36,187.83,67.014,130.0406537,95.8499597,112.2104773,79.41617761,237.1548474,26.51689099,194.5944076,240.4390193,181.352438,71.94185621,102.4252498,83.89,68.59668152
2018-07-03 00:00:00+00:00,257.3437611,44.45341278,95.34178992,1693.96,1102.89,192.73,186.02,62.172,129.0101429,94.50908189,113.2533942,79.83216711,236.675708,26.04806336,193.2358793,235.0791666,180.9785539,71.73007294,101.1708249,83.27,68.99940176
2018-07-05 00:00:00+00:00,259.4431694,44.81112837,96.02520911,1699.73,1124.27,198.45,187.5,61.832,130.8159905,95.12023028,115.3669161,79.9550731,240.0488495,26.17933509,195.7757365,240.9253763,181.7169749,72.93631679,102.434974,84.59,69.0581318
2018-07-06 00:00:00+00:00,261.6375735,45.43229665,97.37279625,1710.63,1140.17,203.23,187.56,61.78,131.6011416,95.43203975,116.0591176,79.89834726,240.298002,26.28247717,196.6617332,245.4911767,181.7824046,73.02839647,102.7072523,85.94,69.07491181
2018-07-09 00:00:00+00:00,263.9934706,46.06313293,98.0369642,1739.02,1154.05,204.74,189.64,63.702,133.0045992,98.38505885,116.3359982,81.24085883,243.0865935,27.23888555,198.051534,247.3969021,183.2779406,71.69324107,103.9227227,86.23,69.5531421
2018-07-10 00:00:00+00:00,264.9434292,46.00754199,98.296856,1743.07,1152.84,203.54,189.9,64.494,134.1528827,97.77978164,117.5635022,82.45101011,244.8785749,27.03260139,198.6330818,251.3671633,184.7080469,73.49800285,103.9325249,86.17,70.19078248
2018-07-11 00:00:00+00:00,263.0055138,45.41054368,98.16209729,1755,1153.9,202.54,189.91,63.792,135.5857835,97.56885171,116.5113559,81.80811724,243.96821,26.8919531,200.9198461,245.6896897,184.0911383,72.89027695,105.9027633,86.25,69.29305194
2018-07-12 00:00:00+00:00,265.3899097,46.1718978,100.2893598,1796.62,1183.48,206.92,189.96,63.342,137.3033016,97.99071158,117.9142176,81.79866293,245.3672971,26.97634207,204.8034028,249.3621814,185.0258483,72.6416618,106.1086091,89.13,69.37695199
2018-07-13 00:00:00+00:00,265.5989005,46.24440772,101.482937,1813.03,1188.82,207.32,190.96,63.774,136.8322109,97.54133911,116.2252459,82.91427114,247.906736,26.77005791,202.9601919,247.4663816,185.7175337,73.02839647,107.8239907,87.99,69.8971323
2018-07-16 00:00:00+00:00,265.3614109,46.14289384,100.9824047,1822.49,1183.86,207.23,192,62.02,135.8900296,101.4114449,115.0808061,82.8575453,246.2584964,27.92337389,201.156408,246.3547085,185.8951286,73.23097177,108.0200344,87.77,69.20915189
2018-07-17 00:00:00+00:00,266.434864,46.27341169,101.9834694,1843.93,1198.8,209.99,190.41,64.538,137.0481274,101.338078,119.1601803,83.37753218,239.847611,28.1390346,203.4136021,251.803892,187.9701849,73.69137019,108.1180562,88.58,69.0581318
2018-07-18 00:00:00+00:00,266.9953395,46.01962698,101.1845427,1842.92,1195.88,209.36,200.44,64.77,138.2847405,102.2826772,117.951135,83.2640805,244.7635814,28.25155324,205.3750939,249.8286871,187.8486726,73.40592317,108.5003412,88.22,68.98262175
